"","Country","Region","Year","HealthSpendingPercent","SuicideRate","Country_Name","GDP_per_Capita","GINI_Index","SuicideRate_sqrt"
"553","LUX","Europe",2006,6.63642,14.13839,"Luxembourg",131936.4,0.3094812,3.76010505172395
"554","GBR","Europe",2007,8.75711,7.54235,"United Kingdom",51317.055,0.34413147,2.74633391997404
"555","MLT","Europe",2013,8.49666,7.06222,"Malta",41796.285,0.28843665,2.65748377229288
"556","MKD","Europe",2009,6.52846,7.70915,"North Macedonia",16249.328,0.42760608,2.77653561115286
"557","MDV","South-East Asia",2002,8.7844,2.79848,"Maldives",13630.594,0.41312027,1.67286580454022
"558","TUR","Europe",2020,4.6164,2.98326,"Turkey",28649.55,0.43045047,1.72721162571354
"559","DNK","Europe",2019,10.15244,11.41673,"Denmark",67179.125,0.27723306,3.37886519411473
"560","BOL","Americas",2006,4.66088,6.10119,"Bolivia",6778.385,0.56660104,2.47005870375584
"561","BEN","Africa",2018,2.88632,7.20569,"Benin",3155.4512,0.37948644,2.68434163250507
"562","MYS","Western Pacific",2003,2.92417,4.37,"Malaysia",19329.006,0.4641619,2.09045449603669
"563","LTU","Europe",2017,6.44446,29.52678,"Lithuania",39459.9,0.3728361,5.43385498518317
"564","ITA","Europe",2011,8.77407,7.46356,"Italy",50654.496,0.35052994,2.73195168332092
"565","CHN","Western Pacific",2013,4.71491,9.07104,"China",12830.37,0.397364,3.0118167274919
"566","IRN","Eastern Mediterranean",2014,6.3524,4.92606,"Iran",14299.571,0.34814033,2.21947291040012
"567","LVA","Europe",2012,5.41048,23.62347,"Latvia",26521.684,0.35236055,4.86039813184064
"568","FRA","Europe",2013,11.39591,16.98259,"France",51385.727,0.32512552,4.12099381217686
"569","SWE","Europe",2012,10.73515,14.86043,"Sweden",56552.895,0.27643898,3.85492282672429
"570","HUN","Europe",2017,6.74387,17.41688,"Hungary",33934.516,0.30582693,4.17335356757608
"571","USA","Americas",2001,13.16817,11.54827,"United States",55017.305,0.40594307,3.39827456218593
"572","MNG","Western Pacific",2002,5.49191,15.79672,"Mongolia",6117.9824,0.32892948,3.97450877467895
"573","GEO","Europe",2007,7.43518,2.5641,"Georgia",10567.274,0.38108635,1.6012807374099
"574","MDA","Europe",2009,13.67662,21.25054,"Moldova",9001.234,0.32910907,4.60983079949796
"575","DOM","Americas",2001,4.88183,3.988,"Dominican Republic",10921.261,0.49998924,1.99699774661866
"576","PER","Americas",2001,4.72161,1.20244,"Peru",7613.021,0.5130185,1.09655825198664
"577","UGA","Africa",2009,5.78846,5.30005,"Uganda",2188.299,0.44190434,2.30218374592473
"578","MUS","Africa",2017,5.59857,9.45738,"Mauritius",24073.232,0.36761206,3.07528535261364
"579","MDG","Africa",2012,3.91106,5.81206,"Madagascar",1623.4409,0.42551258,2.41082143677212
"580","CMR","Africa",2021,4.30539,8.49675,"Cameroon",4793.556,0.42176074,2.9149185237327
"581","BGR","Europe",2009,6.59578,12.30299,"Bulgaria",21411.86,0.3382308,3.50756183124403
"582","ALB","Europe",2020,7.50389,3.35507,"Albania",14869.22,0.2941963,1.83168501658992
"583","HUN","Europe",2013,7.23441,22.29974,"Hungary",29145.291,0.31504104,4.72226005213605
"584","ALB","Europe",2008,5.509,7.09477,"Albania",11103.7705,0.2998467,2.66360094608783
"585","ECU","Americas",2010,6.34926,7.98604,"Ecuador",11651.343,0.48799783,2.8259582445606
"586","BTN","South-East Asia",2012,3.32088,5.18101,"Bhutan",11143.944,0.38809326,2.27618320879493
"587","ISR","Europe",2009,6.91637,5.97566,"Israel",36081.49,0.4263395,2.44451631207484
"588","SWE","Europe",2007,7.99608,14.63955,"Sweden",57100.438,0.27114177,3.82616648879789
"589","NOR","Europe",2012,8.72189,10.98259,"Norway",84450.15,0.25725982,3.31399909474942
"590","SVK","Europe",2015,6.76215,11.20828,"Slovakia",33578.89,0.26491234,3.34787693919594
"591","MDG","Africa",2001,4.11514,5.86413,"Madagascar",1754.6101,0.4741719,2.42159658077063
"592","CYP","Europe",2012,6.53639,5.73526,"Cyprus",40114.27,0.34312433,2.39484028695026
"593","CYP","Europe",2019,7.06577,4.49963,"Cyprus",47283.457,0.3122325,2.12123313193058
"594","BLR","Europe",2016,5.91054,20.88461,"Belarus",24846.83,0.25306615,4.56996827122465
"595","SLV","Americas",2004,8.13022,8.08247,"El Salvador",7841.532,0.47799078,2.84296851899559
"596","CAN","Americas",2002,8.8567,12.44839,"Canada",48943.543,0.3356031,3.52822760036821
"597","MEX","Americas",2005,5.5811,4.24198,"Mexico",20520.318,0.509391,2.05960675858281
"598","RUS","Europe",2013,5.08105,32.83412,"Russia",36628.92,0.40884423,5.73010645625367
"599","ITA","Europe",2006,8.43673,6.77013,"Italy",53208.9,0.3369475,2.60194734766098
"600","SWE","Europe",2019,10.83224,14.59669,"Sweden",61615.992,0.2930465,3.82056147706067
"601","BOL","Americas",2002,4.89645,6.48055,"Bolivia",6193.2637,0.59274095,2.54569244018204
"602","IDN","South-East Asia",2008,2.54842,1.90274,"Indonesia",8165.0615,0.3263291,1.37939841960182
"603","ITA","Europe",2005,8.33932,6.76471,"Italy",52425.67,0.33830953,2.60090561151304
"604","ROU","Europe",2010,5.63999,13.2047,"Romania",25125.145,0.3547109,3.63382718356281
"605","URY","Americas",2007,7.46167,17.61313,"Uruguay",20871.482,0.46404734,4.19679997140679
"606","GNB","Africa",2010,5.26704,7.20604,"Guinea-Bissau",2104.291,0.50604075,2.68440682460763
"607","KAZ","Europe",2001,3.47098,33.80271,"Kazakhstan",14612.029,0.3596447,5.8140098039133
"608","JAM","Americas",2004,4.80435,0.79307,"Jamaica",10085.591,0.45457473,0.890544777088721
"609","UZB","Europe",2003,5.18825,13.60696,"Uzbekistan",3711.7786,0.3526095,3.68876130970818
"610","HRV","Europe",2014,6.57962,17.03359,"Croatia",28448.125,0.32102978,4.12717700129277
"611","IRL","Europe",2011,10.59872,12.71167,"Ireland",59698.258,0.32872406,3.56534290076004
"612","MOZ","Africa",2019,7.90207,11.59363,"Mozambique",1528.8899,0.50274074,3.4049419965691
"613","TUR","Europe",2005,4.8939,2.845,"Turkey",17828.541,0.42614657,1.6867127793433
